Formulario,nom_hum,Bosques,Charr_Taco,Sabanas,Reforest,Gan_Intens,Gan_Extens,Agricult,Tipo_Agr,Acuacult,Pesca,Moluscos,Extr_Recur,Infraestr,Turism_Com,Transp_Acu,Industria,Otros,IV,Shape_Area
,,0.5,0.3,0.3,0.1,-0.5,-0.2,-0.4,,0.1,0.1,-0.1,-0.3,-0.5,-0.1,-0.1,-0.2,,,
,,BO,CT,SA,RE,GI,GE,AG,,AC,PE,MO,EX,IN,TU,TR,ID,OT,,
121,Lago Guaycara,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0.80,13933.49073050000
122,Manu 1,1,1,0,0,0,0,0,,0,1,0,0,0,1,0,0,,0.80,3892.30217361000
123,Uvita,1,1,0,0,0,0,0,,0,0,0,0,1,1,0,0,,0.20,36339.86674200000
124,Playa Tortuga,1,1,0,0,0,0,0,,0,0,0,0,1,1,0,0,,0.20,19944.21268690000
125,Punta Mala,0,1,0,0,0,0,1,Maiz,0,0,0,0,1,0,0,0,,-0.60,9704.45493701000
126,La Machaca,1,0,0,0,0,0,1,Palma Africana,0,0,0,0,0,0,0,0,,0.10,335514.28598100000
127,Los Zuniga,1,0,0,0,0,0,1,Palma Africana,0,0,0,0,0,0,0,0,,0.10,35508.07749200000
128,Laguna de Amado,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0.50,9444.10544508000
129,Sahineros,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0.80,14839.99974180000
130,Coto,1,0,0,0,0,1,1,"Arroz, palma africana",0,0,0,0,0,0,0,0,,-0.10,140901.35730500000
131,Llano Bonito,0,1,0,0,0,1,0,,0,0,0,0,1,0,0,0,,-0.40,1299.84587757000
132,La Lecheria 1,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0.00,178482.87718000000
133,Manu 2,1,0,0,0,0,0,0,,0,1,0,0,1,1,0,0,,0.00,6812.46072102000
134,Laguna Hedionda,1,0,0,0,0,0,1,Arroz,0,0,0,0,1,0,0,0,,-0.40,90957.17540090000
135,Las Minas,1,0,0,1,0,1,1,Palma Africana,0,0,0,0,0,0,0,0,,0.00,195466.22006900000
136,Boca Ganadito,1,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0.30,171919.29335300000
137,Estero Guerra,1,1,0,0,0,1,1,Maiz,0,0,0,0,1,0,0,0,,-0.30,81816.64909770000
138,Pejeperrito,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,,0.60,455701.26291900000
139,Finca Laguna Corcovado 1,1,0,0,0,0,1,1,Palma Africana,0,0,0,0,1,0,0,0,,-0.60,39106.65753150000
140,Laguna Vanegas,0,0,0,0,0,0,1,Palma Africana,0,0,0,0,1,0,0,0,,-0.90,4907.67147751000
141,Sabalo,1,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.60,361278.15193900000
